CARGO;FICHA;PROCESO(S);SUBPROCESOS
ANALISTA V;TP-DE-2009;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;TP-DE-2010;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;TP-DE-2011;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;TP-DE-2012;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
ANALISTA I;TP-DE-2013;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;TP-DE-1014;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;TP-DE-1015;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;TP-DE-1016;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR I;TP-DE-1017;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;AF-RA-1008;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;AF-RA-1009;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;AF-RA-1011;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR IV;TP-AD-3001;Información, innovación y tecnología;Seguridad de la información
INSPECTOR III;TP-AD-3002;Información, innovación y tecnología;Seguridad de la información
INSPECTOR II;TP-AD-3003;Información, innovación y tecnología;Seguridad de la información
INSPECTOR I;TP-AD-3004;Información, innovación y tecnología;Seguridad de la información
GESTOR IV;TP-AD-3005;Información, innovación y tecnología;Seguridad de la información
GESTOR III;TP-AD-3006;Información, innovación y tecnología;Seguridad de la información
GESTOR II;TP-AD-3007;Información, innovación y tecnología;Seguridad de la información
GESTOR I;TP-AD-3008;Información, innovación y tecnología;Seguridad de la información
ANALISTA V;TP-AD-2009;Información, innovación y tecnología;Seguridad de la información
ANALISTA IV;TP-AD-2010;Información, innovación y tecnología;Seguridad de la información
ANALISTA III;TP-AD-2011;Información, innovación y tecnología;Seguridad de la información
ANALISTA II;TP-AD-2012;Información, innovación y tecnología;Seguridad de la información
ANALISTA I;TP-AD-2013;Información, innovación y tecnología;Seguridad de la información
FACILITADOR IV;TP-AD-1014;Información, innovación y tecnología;Seguridad de la información
FACILITADOR III;TP-AD-1015;Información, innovación y tecnología;Seguridad de la información
FACILITADOR II;TP-AD-1016;Información, innovación y tecnología;Seguridad de la información
INSPECTOR IV;TP-DE-3001;Información, innovación y tecnología;Seguridad de la información
INSPECTOR III;TP-DE-3002;Información, innovación y tecnología;Seguridad de la información
INSPECTOR II;TP-DE-3003;Información, innovación y tecnología;Seguridad de la información
INSPECTOR I;TP-DE-3004;Información, innovación y tecnología;Seguridad de la información
GESTOR IV;TP-DE-3005;Información, innovación y tecnología;Seguridad de la información
GESTOR III;TP-DE-3006;Información, innovación y tecnología;Seguridad de la información
GESTOR II;TP-DE-3007;Información, innovación y tecnología;Seguridad de la información
GESTOR I;TP-DE-3008;Información, innovación y tecnología;Seguridad de la información
ANALISTA V;TP-DE-2009;Información, innovación y tecnología;Seguridad de la información
ANALISTA IV;TP-DE-2010;Información, innovación y tecnología;Seguridad de la información
ANALISTA III;TP-DE-2011;Información, innovación y tecnología;Seguridad de la información
ANALISTA II;TP-DE-2012;Información, innovación y tecnología;Seguridad de la información
ANALISTA I;TP-DE-2013;Información, innovación y tecnología;Seguridad de la información
FACILITADOR IV;TP-DE-1014;Información, innovación y tecnología;Seguridad de la información
FACILITADOR III;TP-DE-1015;Información, innovación y tecnología;Seguridad de la información
FACILITADOR II;TP-DE-1016;Información, innovación y tecnología;Seguridad de la información
FACILITADOR I;TP-DE-1017;Información, innovación y tecnología;Seguridad de la información
FACILITADOR IV;AF-RA-1008;Información, innovación y tecnología;Seguridad de la información
FACILITADOR III;AF-RA-1009;Información, innovación y tecnología;Seguridad de la información
FACILITADOR II;AF-RA-1011;Información, innovación y tecnología;Seguridad de la información
INSPECTOR IV;TP-AD-3001;Planeación, Estrategia y Control;Control interno
INSPECTOR III;TP-AD-3002;Planeación, Estrategia y Control;Control interno
INSPECTOR II;TP-AD-3003;Planeación, Estrategia y Control;Control interno
INSPECTOR I;TP-AD-3004;Planeación, Estrategia y Control;Control interno
GESTOR IV;TP-AD-3005;Planeación, Estrategia y Control;Control interno
GESTOR III;TP-AD-3006;Planeación, Estrategia y Control;Control interno
GESTOR II;TP-AD-3007;Planeación, Estrategia y Control;Control interno
GESTOR I;TP-AD-3008;Planeación, Estrategia y Control;Control interno
ANALISTA V;TP-AD-2009;Planeación, Estrategia y Control;Control interno
ANALISTA IV;TP-AD-2010;Planeación, Estrategia y Control;Control interno
ANALISTA III;TP-AD-2011;Planeación, Estrategia y Control;Control interno
ANALISTA II;TP-AD-2012;Planeación, Estrategia y Control;Control interno
ANALISTA I;TP-AD-2013;Planeación, Estrategia y Control;Control interno
FACILITADOR IV;TP-AD-1014;Planeación, Estrategia y Control;Control interno
FACILITADOR III;TP-AD-1015;Planeación, Estrategia y Control;Control interno
FACILITADOR II;TP-AD-1016;Planeación, Estrategia y Control;Control interno
INSPECTOR IV;TP-DE-3001;Planeación, Estrategia y Control;Control interno
INSPECTOR III;TP-DE-3002;Planeación, Estrategia y Control;Control interno
INSPECTOR II;TP-DE-3003;Planeación, Estrategia y Control;Control interno
INSPECTOR I;TP-DE-3004;Planeación, Estrategia y Control;Control interno
GESTOR IV;TP-DE-3005;Planeación, Estrategia y Control;Control interno
GESTOR III;TP-DE-3006;Planeación, Estrategia y Control;Control interno
GESTOR II;TP-DE-3007;Planeación, Estrategia y Control;Control interno
GESTOR I;TP-DE-3008;Planeación, Estrategia y Control;Control interno
ANALISTA V;TP-DE-2009;Planeación, Estrategia y Control;Control interno
ANALISTA IV;TP-DE-2010;Planeación, Estrategia y Control;Control interno
ANALISTA III;TP-DE-2011;Planeación, Estrategia y Control;Control interno
ANALISTA II;TP-DE-2012;Planeación, Estrategia y Control;Control interno
ANALISTA I;TP-DE-2013;Planeación, Estrategia y Control;Control interno
FACILITADOR IV;TP-DE-1014;Planeación, Estrategia y Control;Control interno
FACILITADOR III;TP-DE-1015;Planeación, Estrategia y Control;Control interno
FACILITADOR II;TP-DE-1016;Planeación, Estrategia y Control;Control interno
FACILITADOR I;TP-DE-1017;Planeación, Estrategia y Control;Control interno
FACILITADOR IV;AF-RA-1008;Planeación, Estrategia y Control;Control interno
FACILITADOR III;AF-RA-1009;Planeación, Estrategia y Control;Control interno
FACILITADOR II;AF-RA-1011;Planeación, Estrategia y Control;Control interno
INSPECTOR IV;TP-AD-3001;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR III;TP-AD-3002;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR II;TP-AD-3003;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR I;TP-AD-3004;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR IV;TP-AD-3005;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR III;TP-AD-3006;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR II;TP-AD-3007;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR I;TP-AD-3008;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA V;TP-AD-2009;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA IV;TP-AD-2010;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA III;TP-AD-2011;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA II;TP-AD-2012;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA I;TP-AD-2013;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR IV;TP-AD-1014;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR III;TP-AD-1015;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR II;TP-AD-1016;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR IV;TP-DE-3001;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR III;TP-DE-3002;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR II;TP-DE-3003;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR I;TP-DE-3004;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR IV;TP-DE-3005;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR III;TP-DE-3006;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR II;TP-DE-3007;Información, innovación y tecnología;Innovación y Tecnología.
GESTOR I;TP-DE-3008;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA V;TP-DE-2009;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA IV;TP-DE-2010;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA III;TP-DE-2011;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA II;TP-DE-2012;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA I;TP-DE-2013;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR IV;TP-DE-1014;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR III;TP-DE-1015;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR II;TP-DE-1016;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR I;TP-DE-1017;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR IV;AF-RA-1008;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR III;AF-RA-1009;Información, innovación y tecnología;Innovación y Tecnología.
FACILITADOR II;AF-RA-1011;Información, innovación y tecnología;Innovación y Tecnología.
INSPECTOR IV;TP-AD-3001;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR III;TP-AD-3002;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR II;TP-AD-3003;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR I;TP-AD-3004;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR IV;TP-AD-3005;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR III;TP-AD-3006;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR II;TP-AD-3007;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR I;TP-AD-3008;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA V;TP-AD-2009;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA IV;TP-AD-2010;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA III;TP-AD-2011;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA II;TP-AD-2012;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA I;TP-AD-2013;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR IV;TP-AD-1014;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR III;TP-AD-1015;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR II;TP-AD-1016;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR IV;TP-DE-3001;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR III;TP-DE-3002;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR II;TP-DE-3003;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR I;TP-DE-3004;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR IV;TP-DE-3005;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR III;TP-DE-3006;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR II;TP-DE-3007;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
GESTOR I;TP-DE-3008;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA V;TP-DE-2009;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA IV;TP-DE-2010;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA III;TP-DE-2011;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA II;TP-DE-2012;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA I;TP-DE-2013;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR IV;TP-DE-1014;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR III;TP-DE-1015;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR II;TP-DE-1016;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR I;TP-DE-1017;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR IV;AF-RA-1008;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR III;AF-RA-1009;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
FACILITADOR II;AF-RA-1011;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
INSPECTOR IV;TP-AD-3001;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR III;TP-AD-3002;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR II;TP-AD-3003;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR I;TP-AD-3004;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR IV;TP-AD-3005;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR III;TP-AD-3006;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR II;TP-AD-3007;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR I;TP-AD-3008;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA V;TP-AD-2009;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA IV;TP-AD-2010;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA III;TP-AD-2011;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA II;TP-AD-2012;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA I;TP-AD-2013;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR IV;TP-AD-1014;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR III;TP-AD-1015;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR II;TP-AD-1016;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR IV;TP-DE-3001;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR III;TP-DE-3002;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR II;TP-DE-3003;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR I;TP-DE-3004;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR IV;TP-DE-3005;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR III;TP-DE-3006;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR II;TP-DE-3007;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
GESTOR I;TP-DE-3008;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA V;TP-DE-2009;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA IV;TP-DE-2010;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA III;TP-DE-2011;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA II;TP-DE-2012;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
ANALISTA I;TP-DE-2013;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR IV;TP-DE-1014;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR III;TP-DE-1015;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR II;TP-DE-1016;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR I;TP-DE-1017;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR IV;AF-RA-1008;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR III;AF-RA-1009;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
FACILITADOR II;AF-RA-1011;"Planeación, estrategia y control; Talento humano";Control Interno, Investigación Disciplinaria 
INSPECTOR IV;TP-AD-3001;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR III;TP-AD-3002;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR II;TP-AD-3003;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR I;TP-AD-3004;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR IV;TP-AD-3005;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR III;TP-AD-3006;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR II;TP-AD-3007;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR I;TP-AD-3008;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA V;TP-AD-2009;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA IV;TP-AD-2010;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA III;TP-AD-2011;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA II;TP-AD-2012;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA I;TP-AD-2013;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR IV;TP-AD-1014;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR III;TP-AD-1015;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR II;TP-AD-1016;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR IV;TP-DE-3001;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR III;TP-DE-3002;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR II;TP-DE-3003;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR I;TP-DE-3004;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR IV;TP-DE-3005;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR III;TP-DE-3006;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR II;TP-DE-3007;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
GESTOR I;TP-DE-3008;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA V;TP-DE-2009;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA IV;TP-DE-2010;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA III;TP-DE-2011;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA II;TP-DE-2012;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
ANALISTA I;TP-DE-2013;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR IV;TP-DE-1014;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR III;TP-DE-1015;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR II;TP-DE-1016;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR I;TP-DE-1017;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR IV;AF-RA-1008;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR III;AF-RA-1009;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
FACILITADOR II;AF-RA-1011;"Planeación, estrategia y control; Talento humano";Investigaciones disciplinarias
INSPECTOR IV;TP-AD-3001;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR III;TP-AD-3002;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR II;TP-AD-3003;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR I;TP-AD-3004;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR IV;TP-AD-3005;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR III;TP-AD-3006;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR II;TP-AD-3007;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR I;TP-AD-3008;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA V;TP-AD-2009;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA IV;TP-AD-2010;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA III;TP-AD-2011;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA II;TP-AD-2012;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA I;TP-AD-2013;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR IV;TP-AD-1014;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR III;TP-AD-1015;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR II;TP-AD-1016;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR IV;TP-DE-3001;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR III;TP-DE-3002;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR II;TP-DE-3003;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR I;TP-DE-3004;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR IV;TP-DE-3005;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR III;TP-DE-3006;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR II;TP-DE-3007;Planeación, Estrategia y Control;Asuntos Internacionales.
GESTOR I;TP-DE-3008;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA V;TP-DE-2009;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA IV;TP-DE-2010;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA III;TP-DE-2011;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA II;TP-DE-2012;Planeación, Estrategia y Control;Asuntos Internacionales.
ANALISTA I;TP-DE-2013;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR IV;TP-DE-1014;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR III;TP-DE-1015;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR II;TP-DE-1016;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR I;TP-DE-1017;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR IV;AF-RA-1008;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR III;AF-RA-1009;Planeación, Estrategia y Control;Asuntos Internacionales.
FACILITADOR II;AF-RA-1011;Planeación, Estrategia y Control;Asuntos Internacionales.
INSPECTOR IV;TP-AD-3001;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR III;TP-AD-3002;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR II;TP-AD-3003;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR I;TP-AD-3004;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR IV;TP-AD-3005;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR III;TP-AD-3006;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR II;TP-AD-3007;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR I;TP-AD-3008;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA V;TP-AD-2009;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA IV;TP-AD-2010;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA III;TP-AD-2011;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA II;TP-AD-2012;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA I;TP-AD-2013;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
FACILITADOR IV;TP-AD-1014;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
FACILITADOR III;TP-AD-1015;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
FACILITADOR II;TP-AD-1016;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR IV;TP-DE-3001;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR III;TP-DE-3002;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR II;TP-DE-3003;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
INSPECTOR I;TP-DE-3004;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR IV;TP-DE-3005;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR III;TP-DE-3006;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR II;TP-DE-3007;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
GESTOR I;TP-DE-3008;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA V;TP-DE-2009;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA IV;TP-DE-2010;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
ANALISTA III;TP-DE-2011;"Cercanía con el ciudadano; Cumplimiento de obligaciones tributarias.";"Asistencia al Usuario; Recaudo."
